customer_id,signup_date
C001,2022-11-04
C002,2022-02-10
C003,2022-03-10
C004,2023-02-18
C005,2022-09-05
C006,2023-09-17
C007,2023-11-28
C008,2023-03-09
C009,2023-08-09
C010,2023-08-09
C011,2022-06-26
C012,2022-07-03
C013,2023-06-11
C014,2022-07-11
C015,2023-09-22
C016,2023-05-23
C017,2022-02-27
C018,2022-07-22
C019,2023-01-18
C020,2022-07-06
C021,2022-09-21
C022,2022-11-23
C023,2023-01-09
C024,2022-04-12
C025,2023-04-22
C026,2023-08-04
C027,2023-01-13
C028,2023-08-30
C029,2022-09-30
C030,2022-11-05
C031,2023-12-11
C032,2022-04-22
C033,2022-10-16
C034,2023-01-18
C035,2023-03-09
C036,2022-03-15
C037,2022-01-16
C038,2022-11-18
C039,2022-10-10
C040,2023-03-14
C041,2022-10-23
C042,2023-04-08
C043,2023-07-28
C044,2022-02-02
C045,2023-11-17
C046,2022-04-19
C047,2023-06-30
C048,2022-10-20
C049,2022-05-04
C050,2023-11-30
